2026-08-22 16:51:03, 200, 100001, 5, 2026-08-22, 500000, 1, SUBMITTED
2026-08-22 20:23:47, 402, 999999, 1, 2026-08-22, 1000000, 1, REJECTED_NON_ADIRA
2026-08-22 20:25:24, 403, 100001, 1, 2026-08-22, 1000000, 24, REJECTED_TENOR
2026-08-22 20:26:16, 403, 100001, 1, 2026-08-22, 100000000, 12, REJECTED_TENOR
2026-08-22 20:27:03, 403, 100001, 1, 2026-08-22, 100000000, 12, REJECTED_TENOR
2026-08-22 20:29:18, 404, 100001, 5, 2026-08-22, 100000000, 1, REJECTED_CREDIT_LIMIT
2026-08-22 20:30:26, 200, 100001, 5, 2026-08-22, 100000, 1, SUBMITTED
2026-08-22 20:44:09, 200, 100001, 1, 2026-08-22, 1000000, 1, SUBMITTED
2026-08-22 20:51:47, 402, 99999, 1, 2026-08-22, 1000000, 1, REJECTED_NON_ADIRA
2026-08-22 20:54:40, 401, 100001, 1, 2026-08-22, 1000000, 1, REJECTED_NON_KOPKARA
2026-08-23 20:24:56, 200, 100001, 5, 2026-08-23, 300000, 1, SUBMITTED
2026-08-23 20:44:37, 200, 100001, 5, 2026-08-23, 100000, 1, SUBMITTED
2026-08-23 20:58:55, 402, 1001, 5, 2026-08-23, 200000, 1, REJECTED_NON_ADIRA
2026-08-23 21:00:00, 200, 100001, 5, 2026-08-23, 200000, 1, SUBMITTED
2026-08-23 21:04:03, 200, 100001, 5, 2026-08-23, 150000, 1, SUBMITTED
2026-08-23 21:07:37, 200, 100001, 5, 2026-08-23, 175000, 1, SUBMITTED
